,Address,Name Tag,Balance,Txn Count,Label
55,0xB3f923eaBAF178fC1BD8E13902FC5C61D3DdEF5B,Wintermute: Binance Deposit,0.00836845 ETH,"65,507",binance
56,0x1151314c646Ce4E0eFD76d1aF4760aE66a9Fe30F,Bitfinex 1,9.9617374 ETH,"391,319",bitfinex
57,0x36a85757645E8e8AeC062a1dEE289c7d615901Ca,Bitfinex 10,"177,328.30766824 ETH",27,bitfinex
58,0xC56fEFd1028B0534bfaDCdB580d3519b5586246E,Bitfinex 11,"95,263.26323519 ETH",1,bitfinex
59,0x0b73F67A49273fc4B9A65DBD25D7d0918E734E63,Bitfinex 12,"34,740.37540505 ETH",1,bitfinex
60,0x482F02e8BC15b5EAbC52C6497b425B3Ca3c821E8,Bitfinex 13,0.26199736 ETH,2,bitfinex
61,0xE92d1A43df510F82C66382592a047d288f85226f,Bitfinex 19,"450,118.32638218 ETH",92,bitfinex
62,0x742d35Cc6634C0532925a3b844Bc454e4438f44e,Bitfinex 2,"57,708.19559883 ETH","18,351",bitfinex
63,0x8103683202aa8DA10536036EDef04CDd865C225E,Bitfinex 20,"275,000.02811646 ETH",38,bitfinex
64,0x876EabF441B2EE5B5b0554Fd502a8E0600950cFa,Bitfinex 3,3.72615716 ETH,"2,277,362",bitfinex
65,0xdcD0272462140D0A3cEd6C4bf970c7641f08CD2c,Bitfinex 4,0.09011851 ETH,11,bitfinex
66,0x4fdd5Eb2FB260149A3903859043e962Ab89D8ED4,Bitfinex 5,"100,116.88988392 ETH",25,bitfinex
67,0x1b29DD8fF0EB3240238bF97CaFD6edeA05D5Ba82,Bitfinex 6,1.37340398 ETH,13,bitfinex
68,0x30a2EBF10f34c6C4874b0bDD5740690fD2f3B70C,Bitfinex 7,2.10290367 ETH,4,bitfinex
69,0x3F7E77B627676763997344a1AD71aCb765fc8aC5,Bitfinex 8,"23,594.74684404 ETH",11,bitfinex
70,0x59448fe20378357F206880c58068f095ae63d5A5,Bitfinex 9,0.0003728 ETH,33,bitfinex
71,0x7727E5113D1d161373623e5f49FD568B4F543a9E,Bitfinex: Contract 1,0 ETH,"513,181",bitfinex
